Held Item,Price,Effect
Purifying Necklace,3500 Poké,"At the end of the holder's turns, it rolls a d10. On a 8-10, the holder is cured of any status condition it has, which includes volatile and non-volatile status conditions"
Quick Claw,3500 Poké,"At the start of each round, roll a d20. On 16-20, holder can take its turn at any point in the round, and its movement speeds increase by 10ft for the round"
Razor Claw,3500 Poké,"Holder's critical hit range increases by 2, and its critical hits deal an additional die of damage"
Razor Fang,3500 Poké,"On a hit using a physical move, roll a d10. On a 10, target Flinches, and it takes 2d8 damage when it flinches as a result of this item"
Red Card,3500 Poké,"When a Pokémon hits the holder, it is forced to switch out if it has a Pokéball or move 60ft away if it is Befriended, provoking opportunity attacks"
Rocky Helmet,3500 Poké,"When holder is hit by a physical move that makes contact, the attacker takes 2d12 damage, and a roll of 5 or lower on a die is considered a 6."
Room Service,3500 Poké,"If Trick Room is used, the user always goes first while Trick Room is active, regardless of speed"
Safety Goggles,3500 Poké,"Holder is immune to weather affects and powder moves, and when a weather condition is active, it ignores the negative effects (such as a sandstorm's damage)"
Scuba Flippers,"9,550 Poké",The holder gains a swimming speed equal to its highest movement speed
Shell Bell,3500 Poké,"On hitting a foe with a damaging move, holder restores 2d10 HP, and a roll of 4 or lower on a die is considered a 5. It restores additional HP equal to the highest damage roll of the move used"
Scope Lens,3500 Poké,"Increases holder's critical hit range by 2, and its critical hits cannot be canceled out by any means"
Screen Polish,3500 Poké,"Doubles the turn length that Light Screen, Reflect, and Aurora Veil stay active, but only reduces damage by 40% instead of 50%, and they cannot be broken by moves or abilities"
Shed Shell,1050 Poké,"Holder can switch out regardless of effects or abilities, and switching out a Pokémon holding this item does not cost its trainer an action"
Sigil of Sanctum,3500 Poké,"As a bonus action, the holder can place down a sigil within 15ft of itself. While on the sigil, the holder's moves deal an additional die of damage and reach an additional 10ft. Only two sigils can be active at once."
Smackback Glove,2550 Poké,"When the holder uses a move that would cause a target to be forcibly moved, the distance they move is doubled. When the holder is hit by a move that would cause it to be forcibly moved, the distance it is moved is halved"
Slingshot,3500 Poké,"The holder's moves with a range of Melee become a range of 15ft, and the holder's moves cannot make contact while it is holding this item"
Smoke Ball,1050 Poké,"Holder doesn't provoke attacks of opportunity, and moves used against it have a -2 penalty to hit"
Spectral Scarf,"9,550 Poké",The holder gains a phasing speed equal to its highest movement speed
Subwoofer,3500 Poké,The holder's sound based moves can deal damage to an additional target the user can see equal to a quarter of the damage dealt to the original target
Subzero Snowcone,3500 Poké,"Restores 3d10 HP to Ice types at the end of each of their turns - deals damage instead to non-Ice types, and a roll of 4 or lower is considered a 5"
Sync Bracelet,2550 Poké,"When the holder is in battle with another allied Pokémon that is holding a Sync Bracelet, they each gain a +1 bonus to their Attack, Defense, Sp. Attack, Sp. Defense, and Speed modifiers, and their moves deal an additional die of damage"
Terrain Extender,900 Poké,"When holder activates a terrain, it stays active for 8 turns instead of 5"
Terrain Seeds,1050 Poké,"Holder gains a +2 stages to Defense and Special Defense when terrain is active, and it becomes able to benefit from the positive effects of terrain while ignoring the negative effects (such as being able to inflict status conditions on foes in Misty Terrain)"
Throat Spray,2550 Poké,"Holder increases Special Attack by 2 stages after using a sound based move, and its sound based moves gain an additional +2 modifier to hit and +6 modifier to damage"
Toxic Orb,1000 Poké,"At the end of a Pokémon's turn, afflicts the holder with bad poisoning"
Vengeful Bangle,2550 Poké,"The first time the holder takes damage in a battle, the attacker takes the same amount of damage dealt to the holder"
Voodoo Doll,3500 Poké,"Whenever the holder deals damage to a target with a Special move, roll a d10. On a 10, the target becomes Cursed"
Weather Rocks,1050 Poké,"When holder summons a weather, it stays active for 8 turns instead of 5, depending on the item"
Weakness Policy,3500 Poké,"When the holder takes super effective damage, it increases its Attack and Sp. Attack by 2 stages"
White Herb,2550 Poké,"Removes all status decreasing effects on the user, and it becomes immune to its stats being lowered until the end of its next turn"
Wise Glasses,3500 Poké,"When the holder uses a Special move and rolls for damage, it cannot roll below half of the maximum roll (if the move deals 1d12 damage, the minimum roll is a 6)"
Zoom Lens,3500 Poké,"Holder's attack rolls gain +3 modifier if they move after the target, and when they hit, one of the damage rolls of damaging attacks is guaranteed to be the maximum possible result"
