"Foresight, 20 PP; Status, Normal; 20ft. Make an attack roll using Special Attack, and on hit, the user can hit Ghost types with Normal and Fighting moves, and all attacks made against the target for the rest of combat ignore boosts to evasion."
"Frustration, 20 PP; Physical, Normal; Melee. Deals 5d10 + Attack modifier damage if user hates its trainer, 3d10 + Attack modifier damage if user strongly dislikes its trainer, 2d8 + Attack modifier damage if the user dislikes its trainer or 1d10 + Attack modifier damage if the user is neutral toward its trainer."
"Fury Attack, 20 PP; Physical, Normal; Melee. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage."
"Fury Swipes, 20 PP; Physical, Normal; Melee. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage."
"G-Max Cuddle; Physical or Special, Normal; 50ft. Eevee's Gigantamax move. Deals 6d10 + Attack or Special Attack modifier damage and infatuates the target if it is of the opposite gender."
"G-Max Gold Rush; Physical or Special, Normal; 50ft. Meowth's Gigantamax move. Deals 6d10 + Attack or Special Attack modifier damage and confuses target, scattering coins and earning an additional 25% Poké after a battle."
"G-Max Replenish; Physical or Special, Normal; 50ft. Snorlax's Gigantamax move. Deals 6d10 + Attack or Special Attack modifier damage and rolling a d20 for the user and each of its allies. On evens, restores any berries consumed by the user and/or its allies."
"Giga Impact, 3 PP; Physical, Normal; Melee. Deals 7d12 + Attack modifier damage and forces the user to skip its next turn to recharge."
"Glare, 20 PP; Status, Normal; 30ft. Make an attack roll using Attack. On hit, the target is paralyzed."
"Growl, 30 PP; Status, Normal; 15ft cone. Make an attack roll using Attack on each foe in range. On hit, reduce the target's Attack by 1 stage. Allies are immune to the effects of this move."
"Growth, 20 PP; Status, Normal; Self. Increases user's Attack and Special Attack by 1 stage."
"Guillotine, 5 PP; Physical, Normal; Melee. Roll a d100. On a roll of 96 or higher, the target instantly faints."
"Happy Hour, 1 PP; Status, Normal; Self. Doubles prize money earned after a battle. Does not stack with certain features and other moves that increase prize money."
"Harden, 20 PP; Status, Normal; Self. Increases user's Defense by 1 stage."
"Head Charge, 15 PP; Physical, Normal; Melee. Deals 5d10 + Attack modifier damage, user takes recoil equal to 1/4 of the damage dealt."
"Headbutt, 15 PP; Physical, Normal; Melee. Deals 3d10 + Attack modifier damage, and on hit, roll a d10. On an 8-10, the target flinches."
"Heal Bell, 1 PP; Status, Normal; 15ft radius. Heals the user, allies, and Pokémon in the trainer's party in range of their status conditions."
"Helping Hand, 20 PP; Status, Normal; 30ft. Grants an ally's next attack an additional two damage dice, and this move has priority."
"Hidden Power, 20 PP; Special, Varies; 30ft. The user's Hidden Power typing is random depending on the Pokémon itself, usually determined by the GM. Deals 3d10 + Special Attack modifier damage."
"Hold Back, 30 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage, cannot damage a foe below 1 HP."
"Hold Hands, 40 PP; Status, Normal; Melee. Must have an ally on the field. Holds hands with one or more allies in a show of sheer friendship and fleeting comfort. This move is useless and only provides fleeting comfort."
"Horn Attack, 20 PP; Physical, Normal; Melee. Deals 2d12 + Attack modifier damage."
"Horn Drill, 5 PP; Physical, Normal; Melee. Roll a d100. On a roll of 96 or higher, the target instantly faints."
"Howl, 30 PP; Status, Normal; Self. Raises user's Attack by 1 stage."
"Hyper Beam, 3 PP; Special, Normal; 50ft line. Make a separate attack on each target. Deals 7d10 + Special Attack modifier damage and forces the user to skip its next turn to recharge."
"Hyper Drill, 5 PP; Physical, Normal; 20ft line. The user moves to the end of the line as part of the attack. Deals 5d10 + Attack modifier damage and ignores moves such as Protect and Detect."
"Hyper Fang, 10 PP; Physical, Normal; Melee. Deals 4d10 + Attack modifier damage, and on hit, roll a d10. On a 10, the target flinches."
"Hyper Voice, 10 PP; Special, Normal ; 15ft radius. Make a separate attack on each target. Deals 4d10 + Special Attack modifier damage."
"Judgement, 10 PP; Special, Normal; 30ft radius. Make a separate attack on each target. Deals 6d10 + Special Attack modifier damage."
"Laser Focus, 20 PP; Status, Normal; Self. Attacks made by the user result in a critical hit until the end of its next turn."
"Last Resort, 5 PP; Physical, Normal; 15ft. Can only be used if the user has used all of its other moves at least once. Deals 5d10 + Attack modifier damage."
"Leer, 30 PP; Status, Normal; 15ft cone. Make an attack roll using Attack on each foe in range. Each attack that succeeds reduces the target's Defense by 1 stage. Allies are immune to the effects of this move."
"Lock-On, 3 PP; Status, Normal; Self. All of the user's attacking moves will automatically hit a target until the end of the next round."
"Lovely Kiss, 10 PP; Status, Normal; 10ft. Make an attack roll using Special Attack. On a hit, the target falls asleep."
"Lucky Chant, 3 PP; Status, Normal; Self. The user and its allies are immune to extra damage dealt by critical hits for 5 rounds."
"Max Guard; Status, Normal; Self. Can only be used while Dynamaxed. Protects the user from all damage until the end of the round, and the move has priority."
"Max Strike; Physical or Special, Normal; 50ft. Can only be used while Dynamaxed. Deals 5d10 + Attack or Special Attack modifier damage and lowers the Speed of all foes by 1 stage."
"Me First, 20 PP; Status, Normal; 30ft. If the target hasn't acted, the user chooses one of the attacking moves the target knows and uses it, gaining an additional damage die and dealing damage equal to the move's damage + the user's Attack or Special Attack modifier."
"Mean Look, 20 PP; Status, Normal; 30ft. Prevents the target from switching out and from moving outside of a 30ft radius of the user."
"Mega Kick, 5 PP; Physical, Normal; Melee. Deals 5d12 + Attack modifier damage."
"Mega Punch, 20 PP; Physical, Normal; Melee. Deals 4d10 + Attack modifier damage."
"Metronome, 10 PP; Status, Normal; Varies. The user uses a random move."
"Milk Drink, 1 PP; Status, Normal; Self. Restores HP equal to half of its max HP."
"Mimic, 10 PP; Status, Normal; 30ft. The target copies one of the foe's moves at random, and it replaces this move until the end of combat. Moves copied in this way only have 3 PP if they normally have more than that."
"Mind Reader, 3 PP; Status, Normal; 30ft. All of the user's attacking moves will automatically hit the target until the end of the next round."
"Minimize, 10 PP; Status, Normal; Self. Increase Pokémon's evasion by 1 stage, causing all attacks against this Pokémon to have -1 attack rolls per stage."
"Morning Sun, 1 PP; Status, Normal; Self. In normal weather, restores 1/2 of max HP, in harsh sunlight, restores 2/ 3 of max HP, and restores 1/4 of max HP in other weather."
"Multi-Attack, 10 PP; Physical, Normal; Melee. Deals 5d10 + Attack modifier damage, the type of damage changing depending on the memory the user holds."
"Nature Gift, 10 PP; Physical, Normal; 30ft. Deals damage using held berry, and the user must be holding a berry to use this move."
"Nature Power, 20 PP; Special, Normal; Melee. Deals damage depending on the terrain."
"Noble Roar, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, hit, the target has Attack and Special Attack lowered by 1 stage."
"Odor Sleuth, 3 PP; Status, Normal; 30ft. Make an attack roll using Attack, and on hit, the user has advantage on attack rolls against the target until the end of the user's next turn."
"Pain Split, 3 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, the user and target's HP are added together, divided by 2, and then that value becomes the HP of both the user and target."
"Pay Day, 3 PP; Physical, Normal; 30ft. Deals 1d10 + Attack modifier damage and earns an additional 25% Poké after combat."
"Perish Song, 5 PP; Status, Normal; 50ft radius. make a separate attack using Special Attack on each target. Puts a perish counter on all targets in range, starting at 4. At the end of each round, the perish counter decreases by 1, and when the perish counter hits 0, affected targets are reduced to 0 HP."
"Play Nice, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack. On hit, lowers the target's Attack by 1 stage."
"Population Bomb, 10 PP; Physical, Normal; 15ft. Deals 1d4 + Attack modifier damage on hit, guaranteeing two attack rolls. Make attack rolls until one misses, up to a maximum of 10 total attacks."
"Pound, 20 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage."
"Power Shift, 5 PP; Status, Normal; Self. Swaps the user's Attack and Special Attack with its Defense and Special Defense."
"Present, 15 PP; Physical, Normal; 20ft. On hit, roll a d10. On a 1-2, heals the target for 1/4 of its max HP, on a 3-7, deals 1d10 + Attack modifier damage, on an 8-9, deals 2d10 + Attack modifier damage, and on a 10, deals 3d12 + Attack modifier damage."
"Protect, 3 PP; Status, Normal; Self. Uses a reaction to block an attack or move completely when hit. This only blocks the move that Protect is used on."
"Psych Up, 10 PP; Status, Normal; 30ft. The user resets its own stat changes and copies the target's stat changes to its own."
"Pulverizing Pancake; Physical, Normal; Melee. Snorlax's Z-Move, using Giga Impact. User can move a number of feet up to double the user's walking speed before making the attack roll. Deals 9d12 + Attack modifier damage."
"Quick Attack, 20 PP; Physical, Normal; Melee. User can move a number of feet up to the user's walking speed before making the attack roll. Deals 1d10 + Attack modifier damage, and the move has priority."
"Rage, 20 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage. For each consecutive turn the user uses Rage, each time the user is hit, Rage gains an additional damage die. These additional damage die reset when the user uses a move other than Rage."
"Raging Bull, 10 PP; Physical, Normal; 30ft line. Make a separate attack on each target, moving to the end of the line. Deals 4d12 + Attack modifier damage, and removes the effects of Reflect, Light Screen, and Aurora Veil."
"Rapid Spin, 20 PP; Physical, Normal; Melee. Deals 2d10 + Attack modifier damage and clears all binding moves and Leech Seed from the user, and field affects like Stealth Rock and Spikes within 10 feet of the user."
"Razor Wind, 10 PP; Special, Normal; 20ft cone. Upon using this move, the user ends its turn, and on its next turn, it makes a separate attack on each target. Deals 4d10 + Special Attack modifier damage."
"Recover, 1 PP; Status, Normal; Self. Restores HP equal to half of the user's maximum HP."
"Recycle, 5 PP; Status, Normal; Self. Restores the last expended held item, such as a berry, able to use it again."
"Reflect Type, 10 PP; Status, Normal; 30ft. Changes the user's typing to the target's."
"Refresh, 3 PP; Status, Normal; Self. Cures the user of a burn, paralysis or poison."
"Relic Song, 10 PP; Special, Normal; 20ft radius. Make a separate attack on each target. Deals 4d10 + Special Attack modifier damage, and on hit, roll a d10. On a 10, the target is put to sleep, and if used by Meloetta, it changes between Aria and Pirouette form."
"Retaliate, 3 PP; Physical, Normal; Melee. Deals 3d12 + Attack modifier damage, or 5d12 + Attack modifier damage if an ally has been knocked out in the current or last round."
"Return, 20 PP; Physical, Normal; Melee. Deals 5d12 + Attack modifier damage if user adores its trainer, 4d10 + Attack modifier damage if user strongly likes its trainer, 2d10 + Attack modifier damage if the user likes its trainer or 1d12 + Attack modifier damage if the user is neutral toward its trainer."
"Revelation Dance, 15 PP; Special, Normal; 20ft cone. Make a separate attack on each target. Deals 5d10 + Special Attack modifier damage, the type changing depending on the user's primary type."
"Revival Blessing, 1 PP; Status, Normal; 10ft. Revives a knocked out target to half of its maximum HP, or a trainer to full HP. Can also be used on a creature who has died within the past day to revive them back to life, causing the user to forget this move instantly and be unable to relearn it."
"Roar, 10 PP; Status, Normal; 15ft radius. Make an Attack based attack roll on each target. All targets hit are automatically switched out to their trainers, or must move their maximum movement distance away from the user."
"Rock Climb, 20 PP; Physical, Normal; 15ft.The user moves adjacent to the target before making the attack roll. Deals 4d12 + Attack modifier damage, and on hit, roll a d10. On a 9-10, the target is confused."
"Round, 15 PP; Special, Normal; 15ft cone. Make a separate attack on each target. Deals 2d10 + Special Attack modifier damage. If another individual already used Round, this Pokémon can take its turn to use Round at 4d10 + Special Attack modifier damage, and all other individuals who use Round after the first deal the increased damage."
"Safeguard, 10 PP; Status, Normal; 15ft. User chooses up to 5 targets in range, including itself. Targets become immune to non-volatile status conditions and confusion for 5 rounds."
"Scary Face, 10 PP; Status, Normal; 30ft. Make an attack roll using Attack, and on hit, its Speed is reduced by 2 stages."
"Scratch, 20 PP; Physical, Normal; Melee. 1d10 + Attack modifier damage on hit."
"Screech, 10 PP; Status, Normal; 30ft. Make an attack roll using Attack, and on hit, reduce the target's Defense by 2 stages."
"Secret Power, 20 PP; Physical, Normal; 15ft. Deals 4d10 + Attack modifier damage, and on hit, roll a d10. On an 8-10, causes a secondary effect depending on the environment."
"Self-Destruct, 3 PP; Physical, Normal; 30ft radius. Make a separate attack on each target. Deals 7d12 + Attack modifier damage, and the user faints. If the move misses a target, it deals half damage instead."
"Sharpen, 30 PP; Status, Normal; Self. Raises user's Attack by 1 stage."
"Shed Tail, 3 PP; Status, Normal; Self. User takes damage equal to half of its max HP and creates a substitute. The substitute has HP equal to the amount of HP expended by the user to create the substitute. When individuals try to attack the user, it must attack the substitute instead. The user can attack as normal, and any Pokémon that switches in place of the user while the substitute is active gains the substitute."
"Shell Smash, 5 PP; Status, Normal; Self. Decreases the user's Defense and Special Defense by 1 stage, but increases the user's Attack, Special Attack and Speed by 2 stages."
"Simple Beam, 3 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, changes the target's ability to Simple."
"Sing, 5 PP; Status, Normal; 15ft radius. make a separate attack using Special Attack on each target. On hit, targets fall asleep."
"Sketch, 1 PP; Status, Normal; 30ft. Sketches a move that the target used, replacing Sketch with that move."
"Skull Bash, 10 PP; Physical, Normal; Melee. Raises user's Defense by 1 stage and ends its turn. On next turn, attacks and deals 5d10 + Attack modifier damage."
"Slack Off, 1 PP; Status, Normal; Self. Restores HP equal to half of the user's max HP."
"Slam, 20 PP; Physical, Normal; Melee. Deals 4d10 + Attack modifier damage."
"Slash, 20 PP; Physical, Normal; Melee. Deals 3d12 + Attack modifier damage, and this move crits on an attack roll of 19-20."
"Sleep Talk, 10 PP; Status, Normal; Self. Uses one of the other moves the user knows at random, only if the user is asleep."
"Smelling Salts, 10 PP; Physical, Normal; 15ft. Deals 3d12 + Attack modifier damage, or 6d12 + Attack modifier damage if target is paralyzed, curing it of paralysis."
"Smokescreen, 3 PP; Status, Normal; 25ft radius. Creates a cloud of smoke centered on the user. User is immune to the move, but all individuals within the smokescreen or trying to attack Pokémon in the smokescreen have their vision obscured - only able to see 10 feet in front of them while in the smoke - and all attack rolls except for the user's have disadvantage. Smokescreen dissipates after 3 rounds."
"Snore, 15 PP; Special, Normal ; 20ft. Deals 2d12 + Special Attack modifier damage, and on hit, roll a d10. On a 8-10, the target flinches. Fails if the user is not asleep."
"Soft-Boiled, 1 PP; Status, Normal; 15ft. Restores HP equal to half of the target's max HP, and this move can target the user."
"Sonic Boom, 10 PP; Special, Normal; 30ft. Automatically hits and deals 20 damage exactly to the target."
"Spike Cannon, 15 PP; Physical, Normal; 15ft. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d5 + Attack modifier damage."
"Spit Up, 5 PP; Special, Normal; 20ft. Deals 3d10 + Special Attack modifier if user has 1 stockpile, 4d10 + Special Attack modifier if the user has 2 stockpile, and 5d10 + Special Attack modifier. Removes all stockpiles and stat boosts caused by stockpile."
"Splash, 50 PP; Status, Normal; Self. User flops around pathetically in a cruel display of lifeless mortality, a show of life meant to be made meaningless and outclassed. Does nothing."
"Spotlight, 3 PP; Status, Normal; 30ft. Make an attack roll using Special Attack. On hit, all individuals within a 15ft radius of the target must move toward the target and attack it."
"Stockpile, 10 PP; Status, Normal; Self. Stockpiles 1 and increases its Defense and Special Defense by 1 stage."
"Stomp, 15 PP; Physical, Normal; Melee. Deals 3d12 + Attack modifier damage, and on hit, roll a d10. On an 8-10, the target flinches. Ignores the effects of Minimize."
"Strength, 15 PP; Physical, Normal; Melee. Deals 4d12 + Attack modifier damage and knocks the target 10 feet away."
"Struggle; Physical, Normal; Melee. Ignores immunities and deals 2d12 + Attack modifier damage. User loses HP equal to 1/4 of its max HP. Every Pokémon can use this move, but only if it runs out of PP for all of its moves."
"Stuff Cheeks, 10 PP; Status, Normal; Self. Can only be used if holding a berry. Eats held berry and increases Defense by 2 stages."
"Substitute, 3 PP; Status, Normal; Self. User takes damage equal to 25% of its max HP and creates a substitute. The substitute has HP equal to the amount of HP expended by the user to create the substitute. When individuals try to attack the user, it must attack the substitute instead. The user can attack as normal, and any Pokémon that switches in place of the user while the substitute is active gains the substitute."
"Super Fang, 1 PP; Physical, Normal; Melee. Cuts the target's HP in half."
"Supersonic, 15 PP; Status, Normal; 15ft. Make an attack roll using Special Attack. On hit, confuses the target."
"Swagger, 15 PP; Status, Normal; 15ft. Make an attack roll using Attack. On hit, the target is confused but has its Attack raised by 2 stages."
"Swallow, 1 PP; Status, Normal; Self. User restores to full HP if it has 3 stockpiles, half of its max HP if it has 2 stockpiles, and 2d10 HP if it has 1 stockpile. Removes all stockpiles and stat boosts caused by stockpile."
"Sweet Scent, 3 PP; Status, Normal; 15ft radius. make a separate attack using Special Attack on each target. On hit, a target must move as far as it is able toward the user on its next turn, then end its turn."
"Swift, 3 PP; Special, Normal; 30ft. Automatically hits. Deals 2d12 + Special Attack modifier damage."
"Swords Dance, 5 PP; Status, Normal; Self. Increases user's Attack by 2 stages."
"Tackle, 30 PP; Physical, Normal; Melee. Deals 1d10 + Attack modifier damage."
"Tail Slap, 15 PP; Physical, Normal; Melee. Roll a d4+1, making a number of attacks equal to the roll. Deals 1d6 + Attack modifier damage."
"Tail Whip, 30 PP; Status, Normal; 30ft. Make an attack using Special Attack, and on hit, reduce the target's Defense by 1 stage."
"Take Down, 20 PP; Physical, Normal; Melee. Deals 4d12 + Attack modifier damage, and the user takes damage equal to 1/4 of damage dealt."
"Tearful Look, 20 PP; Status, Normal; 30ft. Make an attack roll using Special Attack, and on hit, reduces the foe's Attack and Special Attack by 1 stage."
"Teatime, 10 PP; Status, Normal; 20ft radius. Make an attack roll using Special Attack on all targets in range, and on hit, targets must eat held berries if they have one."
"Techno Blast, 5 PP; Special, Normal; 30ft line. Make a separate attack on each target. Deals 5d10 + Special Attack modifier damage, and the type changes depending on the held drive."
"Teeter Dance, 3 PP; Status, Normal; 15ft radius. make a separate attack based Special Attack on each target, and on hit, targets are confused."
"Tera Blast, 10 PP; Special, Normal; 30ft. Deals 4d10 + Attack or Special Attack modifier damage - whichever is higher while Terastalized, but the move is always Special when not Terastalized. Typing of move changes depending on the user's Tera typing if it is Terastalized."
"Tera Starstorm, 5 PP; Special, Normal; 25ft. Deals 5d12 + Special Attack modifier damage. If the user is Terapagos and is Stellar Tera, the move is a 25ft cone instead."
"Terrain Pulse, 10 PP; Special, Normal; 20ft line. Make a separate attack on each target. Deals 2d12 + Special Attack modifier, or 5d12 + Special Attack modifier when special terrain is active. The move changes typing depending on the active terrain."
"Thrash, 10 PP; Physical, Normal; Melee. Roll a 1d2+1, being forced into using Thrash that many rounds in a row. Deals 4d12 + Attack modifier damage, and when this period of being forced to use this move ends, the user is confused."
"Tickle, 10 PP; Status, Normal; Melee. Make an attack roll using Attack, and on hit, decreases target's Attack and Defense by 1 stage."
"Tidy Up, 10 PP; Status, Normal; Self. Raises user's Attack and Speed by 1 stage, and clears away Substitutes and hazards within 30 feet of the user."
"Transform, 3 PP; Status, Normal; 30ft. User transforms into a Pokémon within range, replacing its species, appearance, typing, Attack, Defense, Special Attack, Special Defense and Speed stats, temporary stat changes, moves, and abilities. The transformation lasts until the end of battle or until the user faints."
"Tri Attack, 10 PP; Special, Normal; 30ft. Deals 4d12 + Special Attack modifier damage, and on hit, roll a d10. On a 9-10, roll a d4. On a 1, target is paralyzed, on a 2, target is burned, on a 3, target is frostbitten, and on a 4, the dice is rerolled until a 1, 2 or 3 is rolled."
"Trump Card, 5 PP; Special, Normal; 10ft. Deals 1d10 + Special Attack modifier damage if this move has 4 or more PP after use, deals 2d10 + Special Attack modifier damage if this move has 3 PP after use, deals 3d10 + Special Attack modifier damage if this move has 2 PP after use, deals 4d10 + Special Attack modifier damage if this move has 1 PP after use, and deals 6d10 + Special Attack modifier damage if the move has 0 PP after use."
"Uproar, 10 PP; Special, Normal; 10ft radius. Make a separate attack on each target. On hit, deals 3d12 + Special Attack modifier damage, and the user must continue to use this move for 3 total rounds. All foes hit by this attack are woken up if sleeping."
"Veevee Volley, 1 PP; Physical, Normal; Melee. Eevee only. Deals 6d10 + Attack modifier damage if user adores its trainer, 3d12 + Attack modifier damage if user strongly likes its trainer, 2d12 + Attack modifier damage if the user likes its trainer or 1d12 + Attack modifier damage if the user is neutral toward its trainer."
"Vice Grip, 20 PP; Physical, Normal; Melee. Deals 2d10 + Attack modifier damage."
"Weather Ball, 10 PP; Special, Normal; 30ft. Deals 3d10 + Special Attack modifier damage. Deals 6d10 + Special Attack modifier Fire, Water, Ice or Rock damage in sunny weather, rainy weather, a snowstorm, or a sandstorm."
"Whirlwind, 20 PP; Status, Normal; 15ft cone. make a separate attack using Special Attack on each target, and on hit, the target is moved 20 feet away from the user."
